id,owner_id,post_time,post_text,comments.count
1756398,-15548215,1674489612,"Минюст предлагает новые условия содержания заключенных

Минюст предлагает увеличить сумму, которую заключенные смогут тратить на продукты. Соответствующие поправки, в частности, содержатся в законопроекте ведомства, которым предлагается внести изменения в Уголовно-процессуальный кодекс, а также в закон «О содержании под стражей подозреваемых и обвиняемых в совершении преступлений». Законопроект уже одобрен правительственной комиссией по законодательной деятельности, сообщил «Ведомостям» источник, близкий к Белому дому, и подтвердил собеседник в Минюсте.

Основные поправки

Размер денежных средств для приобретения продуктов питания и предметов первой необходимости предлагается увеличить в размере, эквивалентном уровню инфляции за период 2016–2021 гг. Осужденные граждане в соответствии с законом могут приобретать предметы и вещи по безналичному расчету за счет средств, заработанных в период отбывания наказания, а также за счет получаемых пенсий, социальных пособий и переводов денежных средств. Деньги зачисляются на лицевые счета осужденных.

Среди мер, предложенных Минюстом, есть также увеличение нормы общей площади на одного осужденного в исправительных центрах (ИЦ), где гражданин отбывает наказание в виде принудительных работ. Согласно статистическим данным ФСИН России, приведенным в документе, 98,98% содержащихся в ИЦ осужденных привлечены к труду, из-за чего и возникла необходимость создать для них более комфортные условия.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/society/articles/2023/01/23/959985-novie-usloviya-soderzhaniya-zaklyuchennih",17
1754848,-15548215,1674455001,"так индексировали меньше инфляции вот и не защитила, в РФ индексировали на 20% и это помогло малообеспеченным гражданам",1
1754848,-15548215,1674433201,"Регулярная индексация минимальных заработных плат (minimum wages, российский аналог – МРОТ) странами еврозоны не смогла защитить наименее обеспеченные слои населения от роста цен. К такому выводу пришли эксперты Организации экономического сотрудничества и развития (ОЭСР) в докладе «Минимальные зарплаты в период растущей инфляции».",17
1746014,-15548215,1674079200,"JPMorgan, Bank of America, Citigroup и другие крупнейшие банки открыли сезон отчетности за IV квартал в США. Наряду с финансовыми результатами они опубликовали экономические прогнозы. Главную угрозу для экономики США по-прежнему представляет инфляция, хотя всплеск потребительских цен прошлым летом до 40-летнего пика (9,1% год к году) сошел на нет. Годовая инфляция снижается шестой месяц подряд: в декабре она достигла самого низкого уровня более чем за год, опустившись с ноябрьских 7,1% до 6,5%.",12
1745087,-15548215,1674051018,А почему бы инфляцию не отменить очередным указом? И песков подтвердит,10
1745087,-15548215,1674050569,"Путин ожидает инфляцию в первом квартале на уровне 5%

В I квартале 2023 г. инфляция может составить 5%, заявил президент России Владимир Путин в рамках встречи с рабочими Обуховского завода, входящего в концерн воздушно-космической обороны «Алмаз-Антей».",109
1743269,-15548215,1673992983,Если бы цены на энерго ресурсы понизили бы все и стало бы хорошо и цены в магазинах упали сами собой если топливо дешевле то и доставка дешевле и не кому зарплаты поднимать не на до было-бы и инфляци не былобы,7
1742235,-15548215,1673957242,"Путин заявил, что динамика экономики РФ оказалась лучше прогнозов

Фактические показатели российской экономики по итогам 2022 г. оказались лучше многих прогнозов. Об этом заявил президент РФ Владимир Путин на совещании по экономическим вопросам.

Главное из заявления: 
 
▪ВВП России в 2022 году, по предварительным данным, снизился лишь на 2,5%. Показатель по дефициту бюджета стал одними из лучших в G20 
 
▪Снижение инфляции в первом квартале 2023 года может составить до 5% 
 
▪Российские газовые компании получили «хорошую прибыль» в 2022 году, а нефтедобыча выросла на 2%, несмотря на санкции 
 
▪Стране нужно отказаться от экспорта необработанной древесины и поставлять продукцию с высокой добавленной стоимостью 
 
▪Надо стимулировать занятость и рост реальных зарплат 
 
▪Важно закрепить тенденцию роста российской экономики 
 
▪Некоторым компаниям разрешается не учитывать голоса акционеров из недружественных стран 
 
[club15548215|@vedomosti]",42
1740887,-15548215,1673884814,"Росстат оценил инфляцию по итогам 2022 года в 11,94%

Инфляция в России по итогам 2022 г. составила 11,94%, следует из данных Росстата. Больше всего выросли цены на услуги – на 13,19% в декабре 2022 г. по сравнению с аналогичным периодом 2021 г. На непродовольственные товары рост цен составил 12,7%, на продовольственные – 10,29%.

В декабре в помесячном выражении Росстат зафиксировал ускорение темпа роста цен на 0,78% после 0,37% в ноябре и 0,18% в октябре. Инфляцию в декабре подстегнула индексация тарифов ЖКХ – услуги подорожали на 2,04% за месяц. Непродовольственные товары в декабре выросли в цене на 0,05% в месячном выражении, продовольственные – на 0,60%.

Цены на продукты выросли за счет сезонного удорожания плодоовощной продукции (на 5,83% после 5,58% в ноябре) и возобновления роста цен на остальные продовольственные товары, говорится в обзоре Минэкономразвития «О текущей ценовой ситуации». Сдерживающее влияние на инфляцию оказало снижение темпов роста цен в секторе непродовольственных товаров при продолжающемся удешевлении большинства товаров длительного использования, отмечается в комментарии министерства.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/economics/articles/2023/01/13/959014-rosstat-otsenil-inflyatsiyu",16
1737263,-15548215,1673634603,"Больше всего выросли цены на услуги – на 13,19% в декабре 2022 г. по сравнению с аналогичным периодом 2021 г. На непродовольственные товары рост цен составил 12,7%, на продовольственные – 10,29%.",10
1734557,-15548215,1673533447,"Инфляция в США в декабре замедлилась до 6,5%

Индекс потребительских цен в США по итогам декабря снизился на 0,1% по сравнению с ноябрем, когда было зафиксировано, наоборот, его увеличение на 0,1%. В годовом выражении потребительские цены выросли на 6,5%",16
1732488,-15548215,1673446518,"Но вообще-то, Соломон Соломонович и Павел Гаврилов, инфляция и цены в магазине немного разные понятия. Ну, хотя бы потому, что опасаясь, что инфляция по факту будет гораздо больше, чем прогнозы по ней, заранее стараются ценой подстраховаться, чтобы бизнес не стал убыточным. И правительство здесь никак не участвует. Научитесь умственные херы свои от пальцев 21-х своих отличать. А это констатация факта по вам.",1
1732488,-15548215,1673446004,"Минэкономразвития оценило инфляцию по итогам 2022 года в 11,9%

В 2022 г. инфляция в России составила 11,9%, сообщил глава Минэкономразвития Максим Решетников на совещании президента Владимира Путина с членами правительства.",11
1729477,-15548215,1673350551,"Значит усилят. Вот только нам помочь некому, а тем временем инфляция запредельная, а платежки за ЖКХ бьют все рекорды.",3
