id,owner_id,post_time,post_text,comments.count
7560376,-24136539,1674885747,"Работающие британцы не в состоянии досыта накормить своих детей – львиную долю их дохода ""съедают"" коммунальные счета и инфляция. Об этом пишет газета New York Times. Журналисты приводят рассказ учительницы из Лондона Айслинн Кори, которая вынуждена либо есть на ужин ""макароны с макаронами"", либо вовсе пропускать этот прием пищи, чтобы оставить больше еды своим детям. А кассир Шэрон Грант, у которой на иждивении двое сыновей и дочь, отметила, что из-за непомерных счетов за электричество часто не может предложить им на ужин ничего сытнее хлопьев. А в некоторые дни семье и вовсе нечего съесть вечером. 
 
В статье подчеркивается, что для некоторых юных британцев школьные обеды теперь превратились в единственный питательный прием пищи за день.",853
7543391,-24136539,1674458899,"Рекордная инфляция и скандал с документами: США грозит настоящий дефолт из-за политики Джо Байдена. Глава Минфина Джанет Йеллен предупредила Конгресс, что к июню деньги у страны могут закончиться, а также добавила, что это может привести к глобальному финансовому кризису. По ее словам, это подорвет роль доллара как резервной валюты, которая используется в сделках по всему миру. Накануне стало известно, что министерство начало задействовать чрезвычайные меры для избежания кризиса. 

Смотрим подробности: https://smotrim.ru/article/3160406?utm_source=smm&utm_medium=vgtrk&utm_campaign=r24",115
7525526,-24136539,1673955481,"""Фактическая динамика экономики РФ в 2022 году оказалась лучше многих прогнозов"", — сообщил Владимир Путин в прямом эфире телеканала ""Россия 24"".

📌Владимир Путин отметил проблемы с неполной занятостью и оплатой труда в ряде регионов.

📌ВВП России в 2022 году, по предварительным данным, снизился лишь на 2,5%, тогда как предрекали падение до 20%.

📌Необходимо закрепить тенденцию на рост экономики РФ, наметившуюся в конце года, и обсудить конкретные меры для решения первостепенных задач развития.

📌ОПК России за последний год набрал серьезные обороты и продолжает наращивать мощности. Оборонные предприятия РФ работают в несколько смен, некоторые круглосуточно.

📌Ситуация в лесопромышленном комплексе непростая, необходимо сберечь трудовые коллективы в этой отрасли.

📌Нужно отказаться от экспорта необработанной древесины и поставлять продукцию с высокой добавленной стоимостью.

📌Инфляция в России по итогам 2022 года составила 11,9%, это меньше, чем прогнозировали ЦБ и правительство.

📌Добыча нефти в 2022 году выросла, несмотря на санкции, примерно на 2% до 535 млн тонн.",31
7518970,-24136539,1673780537,,9
7503799,-24136539,1673378429,"Почти все начальные школы в Шотландии закрылись. Причина — массовые забастовки учителей, требующих повышения заработной платы, передает Би-би-си. По данным СМИ, завтра к бастующим присоединятся и педагоги средних образовательных учреждений. 
 
Власти готовы повысить зарплаты на 5%, но учителя требуют увеличения размера оплаты труда с учетом инфляции — на 10%.",26
7500767,-24136539,1673293477,"""Я не знаю, смеяться мне или плакать? Разве последние 2 года не были достаточно сумасшедшими?"": критики Байдена с ужасом отреагировали на перспективу второго срока. Все высказывания собрало издание The New York Post и сделало ироничную обложку с кратким заголовком: ""Джо, нет!"". В статье отмечается, многие американцы обвиняют политику демократа в рекордно высокой инфляции, стремительном росте цен на продукты питания и топливо, а также в неуклонном повышении процентных ставок, который сдерживает покупателей жилья и владельцев бизнеса.",35
7493170,-24136539,1673115362,"Украшенные на Рождество французские улицы снова окрасились в яркий цвет — тысячи сторонников ""желтых жилетов"" наводнили Париж. Люди протестовали против инфляции и удорожания уровня жизни. Митингующих сдерживали со всех сторон полицейские и жандармы, но все прошло тихо. 
 
Свет с февраля должен подорожать еще на 15%, хотя уже сейчас счета приходят настолько высокие, что многие не могут погасить их даже в рассрочку. В тяжелом положении оказался малый и средний бизнес. Экономия энергии результата не дает, а в отсутствии финансовой помощи - это прямой путь к закрытию.",36
7462871,-24136539,1672293629,"Несмотря на беспрецедентное давление и введение против России более 13 тысяч санкций, политическая система, созданная Владимиром Путиным, и экономическая модель выстояли, доказав свою эффективность, заявил председатель Госдумы Вячеслав Володин в своем Telegram-канале. ""В уходящем году Вашингтон и Брюссель предрекали крах экономики нашей страны: инфляцию свыше 100%, курс 200 рублей за доллар, падение ВВП на 25 %. Их планы провалились"", - подчеркнул он. 
 
""Преодолевая вызовы, мы становимся сильнее. Следующий год должен стать годом развития"", - резюмировал Вячеслав Володин.",86
7447491,-24136539,1671905284,"Российские энергоресурсы невозможно заменить и отрезать от рынка, мир не сможет без них существовать. Такое мнение выразил Александр Новак. Другие заявления вице-премьера России: 
 
🔹В 2023 РФ намерена не допустить рост цен на топливо выше инфляции. 
 
🔹Россия смогла в 2022 году удержать рост цен на топливо: бензин при инфляции в 11,1% подорожал всего на 0,6%, дизель — на 8,4%. 
 
🔹Зеленая повестка в мире стала более взвешенной — энергопереход будет более плавным. 
 
🔹Доля углеводородов и угля в энергобалансе сейчас занимает примерно 82%, они будут играть доминирующую роль как минимум в ближайшие десятилетия.",57
7440484,-24136539,1671726631,"""Герои специальной военной операции укрепляют внутренний дух нации, их будут ставить в пример всему обществу, молодому поколению"", — заявил Владимир Путин во время общения с журналистами после заседания Госсовета. Кадры показали в эфире телеканала ""Россия 24"". 
 
Другие высказывания президента: 
 
▪Личное, глубокое убеждение, что бойцы специальной военной операции — все герои. 
 
▪Мы ничего не теряем от этого потолка [цен на нефть], никаких потерь нет, мы по этим ценам и продаем. 
 
▪В понедельник-вторник президент подпишет указ об ответных мерах на потолок цен на нефть. 
 
▪Многие представители крупного бизнеса — настоящие патриоты. Они стремятся работать на развитие страны. 
 
▪Меня иногда наши коллеги-партнеры удивляют своими непрофессиональными решениями. 
 
▪Инфляция в РФ по итогам 2022 года чуть превысит 12%.

▪Кто был заинтересован в транзите газа через Украину, тот и взорвал ""Северный поток"". 
 
▪Путин сообщил, что встретит Новый год в кругу близких, посмотрит ""выступление президента"".",6
